                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.3105,                 3.4799,                 1.3831,                0.65939,                0.14051,                0.16817,                0.06999,                 2.1572,                 3.7722,                 1.3497,             0.00014334,             0.00014334,             0.00014334
                     72,                 2.2856,                 3.4316,                 1.3397,                0.64077,                0.15029,                0.18272,                 0.0765,                 2.1543,                 3.6994,                 1.3436,              0.0001407,              0.0001407,              0.0001407
                     73,                 2.2863,                 3.4246,                 1.3864,                0.64077,                0.15029,                0.18272,                 0.0765,                 2.1543,                 3.6994,                 1.3436,             0.00013792,             0.00013792,             0.00013792
                     74,                 2.3246,                 3.5439,                  1.365,                0.64077,                0.15029,                0.18272,                 0.0765,                 2.1543,                 3.6994,                 1.3436,             0.00013502,             0.00013502,             0.00013502
                     75,                  2.254,                 3.2611,                 1.3855,                 0.6459,                0.15979,                0.18689,                0.08242,                  2.138,                 3.6251,                 1.3372,             0.00013198,             0.00013198,             0.00013198
                     76,                 2.1362,                 3.0198,                 1.3123,                 0.6459,                0.15979,                0.18689,                0.08242,                  2.138,                 3.6251,                 1.3372,             0.00012881,             0.00012881,             0.00012881
                     77,                 2.3198,                 3.4453,                 1.3904,                 0.6459,                0.15979,                0.18689,                0.08242,                  2.138,                 3.6251,                 1.3372,             0.00012551,             0.00012551,             0.00012551
                     78,                 2.2194,                 3.1782,                 1.3276,                0.75025,                0.17005,                0.21183,                0.09221,                 2.1048,                 3.5614,                 1.3289,             0.00012208,             0.00012208,             0.00012208
                     79,                 2.2471,                 3.6178,                 1.3869,                0.75025,                0.17005,                0.21183,                0.09221,                 2.1048,                 3.5614,                 1.3289,             0.00011852,             0.00011852,             0.00011852
                     80,                 2.2352,                 3.1936,                 1.3083,                0.75025,                0.17005,                0.21183,                0.09221,                 2.1048,                 3.5614,                 1.3289,             0.00011482,             0.00011482,             0.00011482
                     81,                 2.3413,                 3.4067,                 1.3384,                0.74684,                0.16729,                 0.2257,                0.10122,                 2.0894,                 3.5144,                 1.3274,             0.00011099,             0.00011099,             0.00011099
                     82,                  2.287,                 3.0342,                 1.2643,                0.74684,                0.16729,                 0.2257,                0.10122,                 2.0894,                 3.5144,                 1.3274,             0.00010703,             0.00010703,             0.00010703
                     83,                 2.0837,                 3.1735,                 1.3783,                0.74684,                0.16729,                 0.2257,                0.10122,                 2.0894,                 3.5144,                 1.3274,             0.00010293,             0.00010293,             0.00010293
                     84,                 2.2695,                 3.1873,                 1.3318,                0.76898,                0.18065,                0.24088,                0.11034,                 2.0795,                 3.4596,                 1.3221,             9.8709e-05,             9.8709e-05,             9.8709e-05
                     85,                 2.2419,                 2.9744,                  1.313,                0.76898,                0.18065,                0.24088,                0.11034,                 2.0795,                 3.4596,                 1.3221,             9.4351e-05,             9.4351e-05,             9.4351e-05
                     86,                  2.255,                 3.0957,                 1.3352,                0.76898,                0.18065,                0.24088,                0.11034,                 2.0795,                 3.4596,                 1.3221,             8.9862e-05,             8.9862e-05,             8.9862e-05
                     87,                 2.2387,                   3.46,                 1.3785,                0.76898,                0.18065,                0.24088,                0.11034,                 2.0795,                 3.4596,                 1.3221,              8.524e-05,              8.524e-05,              8.524e-05
                     88,                 2.2717,                 3.3785,                  1.422,                0.73754,                0.18736,                 0.2452,                0.11298,                 2.0715,                 3.4039,                 1.3204,             8.0486e-05,             8.0486e-05,             8.0486e-05
                     89,                    2.2,                 3.2482,                 1.3471,                0.73754,                0.18736,                 0.2452,                0.11298,                 2.0715,                 3.4039,                 1.3204,               7.56e-05,               7.56e-05,               7.56e-05
                     90,                 2.1444,                 3.3478,                 1.3213,                0.73754,                0.18736,                 0.2452,                0.11298,                 2.0715,                 3.4039,                 1.3204,             7.0583e-05,             7.0583e-05,             7.0583e-05
                     91,                 2.3155,                 3.2704,                 1.3958,                0.73754,                0.18736,                 0.2452,                0.11298,                 2.0715,                 3.4039,                 1.3204,             6.5433e-05,             6.5433e-05,             6.5433e-05
                     92,                 2.1802,                 3.2872,                 1.3585,                0.72582,                0.19856,                0.25604,                0.12115,                 2.0662,                  3.356,                 1.3182,             6.0151e-05,             6.0151e-05,             6.0151e-05
                     93,                 2.2739,                  3.223,                  1.397,                0.72582,                0.19856,                0.25604,                0.12115,                 2.0662,                  3.356,                 1.3182,             5.4737e-05,             5.4737e-05,             5.4737e-05
                     94,                 2.1349,                 3.1384,                 1.3735,                0.72582,                0.19856,                0.25604,                0.12115,                 2.0662,                  3.356,                 1.3182,             4.9191e-05,             4.9191e-05,             4.9191e-05
                     95,                  2.327,                 3.2282,                 1.3594,                0.72582,                0.19856,                0.25604,                0.12115,                 2.0662,                  3.356,                 1.3182,             4.3512e-05,             4.3512e-05,             4.3512e-05
                     96,                 2.2696,                  3.082,                 1.3565,                0.70799,                0.20993,                0.25529,                0.12324,                 2.0649,                 3.2968,                 1.3145,             3.7702e-05,             3.7702e-05,             3.7702e-05
                     97,                 2.1419,                 3.0821,                 1.3191,                0.70799,                0.20993,                0.25529,                0.12324,                 2.0649,                 3.2968,                 1.3145,              3.176e-05,              3.176e-05,              3.176e-05
                     98,                 2.2331,                 3.2552,                 1.3262,                0.70799,                0.20993,                0.25529,                0.12324,                 2.0649,                 3.2968,                 1.3145,             2.5686e-05,             2.5686e-05,             2.5686e-05
                     99,                 2.2139,                 3.1877,                 1.3398,                0.70799,                0.20993,                0.25529,                0.12324,                 2.0649,                 3.2968,                 1.3145,             1.9479e-05,             1.9479e-05,             1.9479e-05
                    100,                 2.2239,                 3.1318,                 1.3215,                0.68113,                0.20993,                0.25796,                 0.1239,                 2.0681,                 3.2487,                  1.314,             1.3141e-05,             1.3141e-05,             1.3141e-05
